Smiles,Corrected
CCn1cc(-c2csc(N)n2)c(=O)c2cc(N3CCCC3)c(Cl)cc21,6802.72
CCn1cc(-c2csc(N)n2)c(=O)c2cc(N3CCCC3)c(Cl)cc21,7194.24
CCn1cc(-c2csc(N)n2)c(=O)c2cc(N3CCCC3)c(Cl)cc21,7299.27
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,4.18
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@H](C(=O)[O-])C(C)C)C(=O)C(O)=C3C(C)C)/C(=C/N[C@H](C(=O)[O-])C(C)C)C(=O)C(O)=C2C(C)C.[Na+].[Na+],4.73
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NC(C)(C)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/NC(C)(C)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],5.23
Cc1cc2c(C(C)C)c(O)c(O)c(/C=N/[C@@H](Cc3ccccc3)C(=O)[O-])c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(/C=N/[C@@H](Cc3ccccc3)C(=O)[O-])c2c1O.[Na+].[Na+],7.79
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](C)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](C)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],9.62
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,149.25
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,320.51
COC(=O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,3278.69
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,381.68
O=C(O)COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,3389.83
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,6097.56
CCOC(=O)COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,8771.93
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,131578.95
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,333333.33
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,13927.58
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,14285.71
Cc1ccc(-c2cc(-c3nc4ccccc4[nH]3)nc(N)n2)cc1,14367.82
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,15455.95
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,15455.95
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16077.17
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16077.17
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16155.09
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16339.87
Cc1ccc(-c2cc(-c3nc4ccccc4[nH]3)nc(N)n2)cc1,16556.29
OC(Cn1cncn1)(Cn1cncn1)c1ccc(Cl)cc1Cl,16583.75
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17064.85
OC(Cn1cncn1)(Cn1cncn1)c1ccc(Cl)cc1Cl,17361.11
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17699.12
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17793.59
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17857.14
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,18018.02
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncc1[N+](=O)[O-])Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],18214.94
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,18416.21
OC(Cn1cncn1)(Cn1cncn1)c1ccc(Cl)cc1Cl,19569.47
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,20746.89
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,20833.33
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,22026.43
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,23866.35
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncn1)Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],24813.9
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,25706.94
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncc1[N+](=O)[O-])Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],26455.03
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncn1)Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],26737.97
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,27100.27
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,27472.53
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,27472.53
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,27932.96
